date,asset_id,time,open,close,high,low,volume,market_cap,url_shares,unique_url_shares,tweets,tweet_spam,tweet_followers,tweet_quotes,tweet_retweets,tweet_replies,tweet_favorites,tweet_sentiment1,tweet_sentiment2,tweet_sentiment3,tweet_sentiment4,tweet_sentiment5,tweet_sentiment_impact1,tweet_sentiment_impact2,tweet_sentiment_impact3,tweet_sentiment_impact4,tweet_sentiment_impact5,social_score,average_sentiment,sentiment_relative,news,price_score,social_impact_score,correlation_rank,galaxy_score,volatility,alt_rank,alt_rank_30d,market_cap_rank,percent_change_24h_rank,volume_24h_rank,social_volume_24h_rank,social_score_24h_rank,medium,youtube,social_contributors,social_volume,price_btc,social_volume_global,percent_change_24h,market_cap_global,market_dominance,name,symbol,close_end_1d,close_percent_change_1d,close_end_7d,close_min_7d,close_max_7d,close_loss_7d,close_gain_7d,close_change_7d,close_percent_change_7d,decision,color
2019-08-20,1,1566259200,10861.318447,10755.872894,10884.918318,10595.665291,12671622106.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,5956,5223,1,13322.0,-1.5769765117861934,,,Bitcoin,BTC,10151.624699,-0.056178443251878776,10159.115014,9903.338037,10884.918318,-0.07926226587110137,0.011997670972105474,-596.7578799999992,-0.05548205021397115,Sell,Red
2019-08-21,1,1566345600,10666.260914,10151.624699,10666.260914,9960.816509,15527376493.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,6224,5107,1,12496.0,-5.617844325187877,,,Bitcoin,BTC,10114.246049,-0.003682036236395008,9729.756991,9903.338037,10666.260914,-0.02445782516215934,0.05069496068453904,-421.86770799999977,-0.04155666905628972,Hold,Grey
2019-08-22,1,1566432000,10182.132024,10114.246049,10182.132024,9903.338037,12737158713.0,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,0.0,0.0,9079,4720,1,12713.0,-0.36820362363950077,,,Bitcoin,BTC,10357.868307,0.024087040874795438,9507.45011,9672.536935,10541.352569,-0.04367197632528144,0.042228211369470234,-606.7959389999996,-0.05999418405092032,Hold,Grey
2019-08-23,1,1566518400,10155.69122,10357.868307,10377.96982,10149.972937,10514168647.0,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,0.0,0.0,13467,4201,1,10418.0,2.408704087479544,,,Bitcoin,BTC,10147.145588,-0.020344216855662445,9592.385842,9418.24769,10541.352569,-0.09071563657214979,0.01771448106518197,-765.482465000001,-0.07390347533987052,Sell,Red
2019-08-24,1,1566604800,10355.861262,10147.145588,10355.861262,10008.590251,10982740300.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,0.0,0.0,15156,3018,1,5924.0,-2.0344216855662447,,,Bitcoin,BTC,10122.193884,-0.0024589874840770004,9612.302402,9418.24769,10541.352569,-0.07183280181393996,0.038849051448142206,-534.8431860000001,-0.05270873285118772,Sell,Red
2019-08-25,1,1566691200,10089.945144,10122.193884,10237.655152,9965.083435,10401341325.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,0.0,0.0,10596,1463,1,2815.0,-0.24589874840770004,,,Bitcoin,BTC,10386.950573,0.026156057869875102,9760.177254,9418.24769,10541.352569,-0.06954482418210911,0.04140986527264195,-362.0166300000001,-0.03576464096110966,Hold,Grey
2019-08-26,1,1566777600,10160.244993,10386.950573,10541.352569,10160.244993,13642855100.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,0.0,0.0,10626,1322,1,2875.0,2.6156057869875102,,,Bitcoin,BTC,10159.115014,-0.02193478802067649,10374.426465,9418.24769,10541.352569,-0.09326152812530572,0.014864997663641093,-12.524107999999615,-0.0012057540769044358,Sell,Red
2019-08-27,1,1566864000,10335.842666,10159.115014,10335.842666,10096.241305,10601903625.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,0.0,0.0,6821,1398,1,2943.0,-2.193478802067649,,,Bitcoin,BTC,9729.756991,-0.04226332927703978,10602.404439,9418.24769,10380.344756,-0.07292636444995766,0.02177647774389096,443.289424999999,0.04363464971004993,Hold,Grey
2019-08-28,1,1566950400,9983.95953,9729.756991,10073.973344,9672.536935,12539405684.0,,80.0,80.0,35865.0,3580.0,,,,,,1603.0,3430.0,6559.0,18886.0,1807.0,8651361.0,22634384.0,49073801.0,136696642.0,12868795.0,229935419.0,3.5,,332.0,,,,,0.62461722,,,,,,,,0.0,0.0,13579,37948,1,114976.0,-4.226332927703978,,,Bitcoin,BTC,9507.45011,-0.02284814319675545,10567.312687,9418.24769,10672.611272,-0.032016144009366865,0.09690419625815297,837.5556959999994,0.08608187201126773,Hold,Grey
2019-08-29,1,1567036800,9665.73728,9507.45011,9665.73728,9418.24769,12204317941.0,,68.0,68.0,33808.0,3350.0,,,,,,1501.0,3083.0,6082.0,18090.0,1702.0,23926344.0,28730015.0,41017312.0,127370516.0,11893234.0,232946481.0,3.5,,302.0,,,,,0.52936252,,,,,,,,0.0,0.0,14178,35404,1,111577.0,-2.284814319675545,,,Bitcoin,BTC,9592.385842,0.008933597443826073,10593.704916,9418.24769,10707.844819,-0.00938237055866072,0.12625832322143,1086.2548060000008,0.11425301142074579,Buy,Green
