date,asset_id,time,open,close,high,low,volume,market_cap,url_shares,unique_url_shares,tweets,tweet_spam,tweet_followers,tweet_quotes,tweet_retweets,tweet_replies,tweet_favorites,tweet_sentiment1,tweet_sentiment2,tweet_sentiment3,tweet_sentiment4,tweet_sentiment5,tweet_sentiment_impact1,tweet_sentiment_impact2,tweet_sentiment_impact3,tweet_sentiment_impact4,tweet_sentiment_impact5,social_score,average_sentiment,sentiment_relative,news,price_score,social_impact_score,correlation_rank,galaxy_score,volatility,alt_rank,alt_rank_30d,market_cap_rank,percent_change_24h_rank,volume_24h_rank,social_volume_24h_rank,social_score_24h_rank,medium,youtube,social_contributors,social_volume,price_btc,social_volume_global,percent_change_24h,market_cap_global,market_dominance,name,symbol,close_end_1d,close_percent_change_1d,close_end_7d,close_min_7d,close_max_7d,close_loss_7d,close_gain_7d,close_change_7d,close_percent_change_7d,decision,color
2019-08-20,29,1566259200,0.002729,0.002722,0.002758,0.002702,19884201.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,59,108,2.530710456348388e-07,13322,-1.7328519855595619,,,Dogecoin,DOGE,0.002644,-0.028655400440852293,0.002606,0.002557,0.002758,-0.06061719324026459,0.013225569434239533,-0.00011600000000000022,-0.042615723732549675,Sell,Red
2019-08-21,29,1566345600,0.002578,0.002644,0.002678,0.002557,20955185.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,60,177,2.604509207536456e-07,12496,-2.8655400440852294,,,Dogecoin,DOGE,0.002659,0.005673222390317633,0.002504,0.002557,0.00274,-0.03290468986384276,0.03630862329803318,-0.00013999999999999993,-0.05295007564296518,Hold,Grey
2019-08-22,29,1566432000,0.002644,0.002659,0.002728,0.002601,19259933.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,163,106,2.6289651122961327e-07,12713,0.5673222390317633,,,Dogecoin,DOGE,0.002658,-0.0003760812335463329,0.002436,0.002431,0.00274,-0.08574652124858967,0.030462579917262096,-0.0002230000000000001,-0.0838661150808575,Sell,Red
2019-08-23,29,1566518400,0.002717,0.002658,0.00274,0.002634,16500711.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,196,103,2.5661650845702337e-07,10418,-0.03760812335463329,,,Dogecoin,DOGE,0.002626,-0.01203912716328079,0.002458,0.002375,0.00274,-0.10647103085026345,0.030850263355906547,-0.0002000000000000001,-0.07524454477050417,Sell,Red
2019-08-24,29,1566604800,0.002598,0.002626,0.002663,0.002587,17555035.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,162,88,2.587919900455064e-07,5924,-1.203912716328079,,,Dogecoin,DOGE,0.002614,-0.004569687738004516,0.002456,0.002375,0.002689,-0.09558263518659556,0.02399086062452404,-0.00017,-0.06473724295506475,Sell,Red
2019-08-25,29,1566691200,0.002598,0.002614,0.002665,0.002582,17935943.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,147,80,2.582444112369662e-07,2815,-0.45696877380045164,,,Dogecoin,DOGE,0.002636,0.008416220351950988,0.002475,0.002375,0.002689,-0.0914307574598317,0.02869166029074215,-0.0001389999999999998,-0.053175210405508724,Hold,Grey
2019-08-26,29,1566777600,0.002675,0.002636,0.002689,0.002621,17679756.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,189,35,2.5377996953716705e-07,2875,0.8416220351950988,,,Dogecoin,DOGE,0.002606,-0.011380880121396085,0.002587,0.002375,0.002689,-0.09901365705614566,0.020106221547799733,-4.9e-05,-0.01858877086494689,Sell,Red
2019-08-27,29,1566864000,0.002588,0.002606,0.002646,0.002559,16696226.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,152,38,2.5651840700777006e-07,2943,-1.1380880121396086,,,Dogecoin,DOGE,0.002504,-0.03914044512663072,0.002589,0.002375,0.002657,-0.08864159631619335,0.019570222563315528,-1.6999999999999654e-05,-0.00652340752110501,Sell,Red
2019-08-28,29,1566950400,0.002473,0.002504,0.002542,0.002431,18244889.0,,,,562.0,125.0,,,,,,2.0,87.0,61.0,107.0,181.0,15390.0,269816.0,343871.0,151000.0,209957.0,982643.0,3.9,,8.0,,,,,0.76404216,,,,,,,,0.0,0.0,304,618,2.573548344851977e-07,114976,-3.914044512663072,,,Dogecoin,DOGE,0.002436,-0.02715654952076691,0.0025,0.002375,0.00266,-0.051517571884984105,0.06230031948881784,-4.000000000000097e-06,-0.0015974440894569078,Sell,Red
2019-08-29,29,1567036800,0.002439,0.002436,0.002479,0.002375,21965953.0,,2.0,2.0,577.0,145.0,,,,,,,72.0,93.0,156.0,115.0,,172761.0,761734.0,549925.0,199962.0,1681961.0,3.7,,13.0,,,,,0.65540071,,,,,,,,0.0,0.0,264,724,2.562201191503281e-07,111577,-2.715654952076691,,,Dogecoin,DOGE,0.002458,0.009031198686371231,0.002501,0.002375,0.00266,-0.02504105090311981,0.09195402298850586,6.500000000000039e-05,0.026683087027914776,Buy,Green
2019-08-30,29,1567123200,0.002451,0.002458,0.002489,0.00242,17545716.0,,,,493.0,148.0,,,,,,2.0,61.0,48.0,137.0,103.0,70.0,114856.0,54309.0,348132.0,143041.0,644466.0,3.8,,6.0,,,,,0.49338672,,,,,,,,0.0,0.0,203,542,2.5624490512440757e-07,90535,0.9031198686371231,,,Dogecoin,DOGE,0.002456,-0.0008136696501221584,0.002459,0.00242,0.00266,-0.01545972335231907,0.08218063466232706,9.99999999999699e-07,0.00040683482506090275,Hold,Grey
